product_id,product_name,category,price,cost,stock_quantity,reorder_level
189,Optimized 6thgeneration concept,Sports,212.2,140.71,115,16
190,Centralized transitional secured line,Electronics,480.91,323.3,15,44
191,Cloned multi-tasking intranet,Sports,326.35,225.95,481,43
192,Expanded coherent monitoring,Apparel,412.76,-2.0,477,17
193,Managed value-added infrastructure,Sports,48.91,33.84,47,45
194,Inverse next generation product,Home,147.62,-2.0,417,27
195,Centralized scalable success,Books,372.17,175.1,408,39
196,Robust analyzing hardware,Sports,137.28,101.27,24,17
197,Vision-oriented responsive encoding,Apparel,253.64,166.67,445,11
198,Profound 24/7 hardware,Home,348.84,196.87,448,19
199,Synergistic directional flexibility,Sports,119.06,68.8,67,46
200,Operative full-range algorithm,Sports,220.69,148.48,96,22
201,Visionary dedicated collaboration,Electronics,239.33,106.4,330,12
202,Implemented tertiary algorithm,Home,463.25,301.91,417,19
203,Expanded 4thgeneration leverage,Electronics,408.7,315.91,12,33
204,Advanced tangible definition,Electronics,169.49,102.99,18,11
205,Balanced neutral middleware,Apparel,461.18,273.73,373,18
206,Synergized global project,Sports,42.2,20.02,339,22
207,Grass-roots value-added productivity,Home,68.76,28.23,116,46
208,Enterprise-wide discrete productivity,Apparel,349.23,156.93,390,35
209,Integrated well-modulated model,Electronics,269.25,175.29,253,20
210,Right-sized multi-tasking data-warehouse,Apparel,455.13,218.18,193,49
211,Virtual methodical project,Books,179.47,122.7,397,35
212,Vision-oriented incremental task-force,Books,96.25,66.25,330,21
213,Front-line motivating parallelism,Sports,292.05,190.55,401,25
214,Managed responsive instruction set,Books,178.55,122.78,180,23
215,Business-focused multi-state pricing structure,Apparel,455.68,209.31,327,38
216,Virtual mobile product,Books,121.15,78.31,308,48
217,Universal content-based structure,Sports,95.41,49.13,353,24
218,Switchable well-modulated infrastructure,Apparel,393.11,192.7,216,37
219,Mandatory explicit matrix,Electronics,52.68,28.45,240,35
220,Organic eco-centric installation,Sports,54.9,23.04,23,42
221,User-friendly analyzing artificial intelligence,Electronics,101.84,65.47,391,42
222,Synchronized attitude-oriented project,Apparel,405.39,296.71,195,12
223,Automated next generation flexibility,Apparel,58.35,34.81,202,16
224,Ergonomic regional strategy,Books,183.57,135.5,113,45
225,Reduced actuating artificial intelligence,Apparel,342.11,223.35,361,15
226,Optimized zero administration product,Sports,482.19,287.96,472,26
227,Sharable dynamic help-desk,Sports,271.72,136.76,244,22
228,Programmable modular help-desk,Apparel,168.91,118.49,74,23
229,Customer-focused eco-centric infrastructure,Apparel,490.04,385.01,72,20
230,Ameliorated actuating challenge,Electronics,460.62,277.91,386,48
231,Intuitive dedicated adapter,Home,153.1,122.3,286,46
232,Advanced regional system engine,Apparel,85.6,62.17,91,32
233,Multi-lateral tertiary productivity,Books,208.46,114.82,172,23
234,Profound secondary forecast,Sports,192.08,80.62,124,50
235,Balanced disintermediate project,Apparel,397.27,234.99,34,17
236,Up-sized encompassing function,Sports,270.47,137.57,141,16
237,Secured object-oriented success,Home,415.56,167.27,117,45
238,Cloned uniform open system,Books,-1.0,336.99,165,19
239,Multi-lateral upward-trending website,Apparel,16.64,11.05,396,34
240,Universal eco-centric ability,Books,95.51,63.46,401,28
241,Customizable local Local Area Network,Sports,335.35,164.89,336,33
242,Implemented reciprocal help-desk,Home,199.2,104.69,404,40
243,Ameliorated content-based functionalities,Books,32.07,16.91,37,21
244,Future-proofed eco-centric pricing structure,Home,469.02,311.37,44,37
245,Team-oriented clear-thinking functionalities,Electronics,488.9,247.91,289,31
246,Face-to-face uniform application,Books,171.67,87.32,477,15
247,Intuitive zero tolerance model,Apparel,292.35,160.91,302,30
248,User-centric tertiary array,Apparel,230.92,138.24,30,40
249,Ergonomic fresh-thinking hub,Electronics,403.68,292.46,129,20
250,Customizable contextually-based protocol,Electronics,222.95,103.3,36,49
251,Operative zero tolerance protocol,Apparel,434.77,260.19,373,15
252,Grass-roots 24hour algorithm,Apparel,83.34,35.78,292,25
253,Realigned radical success,Books,378.43,216.46,206,39
254,Exclusive next generation protocol,Sports,270.67,178.35,18,46
255,Organized grid-enabled Graphic Interface,Electronics,477.9,281.88,84,37
256,Secured neutral product,Electronics,250.37,148.61,408,48
257,Vision-oriented hybrid moratorium,Sports,492.69,233.61,333,34
258,Centralized hybrid software,Home,340.73,140.15,356,46
259,Open-architected interactive throughput,Sports,482.28,296.07,332,44
260,Grass-roots dedicated algorithm,Apparel,-1.0,106.88,481,50
261,Optimized local core,Home,345.62,262.69,103,17
262,Programmable mobile functionalities,Sports,305.28,199.04,168,29
263,Balanced coherent matrices,Books,102.3,79.95,326,31
264,Quality-focused leadingedge project,Electronics,99.03,44.55,81,17
265,Ergonomic human-resource complexity,Electronics,297.19,160.72,396,32
266,Virtual bandwidth-monitored neural-net,Home,248.28,136.87,288,50
267,Implemented multimedia archive,Sports,233.49,179.48,3,13
268,Organized logistical extranet,Books,10.58,6.01,237,35
269,PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP,Sports,160.02,98.88,254,35
270,Implemented next generation support,Sports,155.89,90.28,472,29
271,Reverse-engineered bottom-line artificial intelligence,Apparel,-1.0,193.22,197,32
272,Operative homogeneous benchmark,Home,219.05,174.42,439,31
273,Polarized disintermediate projection,Home,26.18,14.73,161,24
274,Grass-roots tangible system engine,Sports,240.43,99.79,499,27
275,Proactive explicit conglomeration,Sports,286.87,185.49,225,15
276,Enterprise-wide asynchronous paradigm,Home,63.86,41.76,70,46
277,Robust asymmetric forecast,Apparel,351.01,171.68,25,33
278,Exclusive bandwidth-monitored help-desk,Apparel,300.85,206.87,188,32
279,Adaptive systematic orchestration,Sports,63.96,39.12,211,23
280,Organic 6thgeneration matrices,Electronics,219.02,108.18,436,30
281,PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP,Books,310.9,238.29,435,45
282,Balanced coherent productivity,Books,421.84,297.56,201,32
283,Balanced well-modulated collaboration,Sports,462.08,261.34,126,29
284,Stand-alone zero-defect data-warehouse,Home,486.46,341.25,381,24
285,Horizontal real-time conglomeration,Electronics,160.62,80.79,405,29
286,Multi-lateral 6thgeneration pricing structure,Books,309.87,172.97,301,25
287,Team-oriented impactful artificial intelligence,Home,378.96,188.34,141,47
288,Reactive discrete adapter,Home,230.94,113.29,449,36
289,Focused multimedia instruction set,Books,139.26,84.99,-5,19
290,PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP,Books,120.02,76.49,215,18
291,Realigned bottom-line open architecture,Apparel,306.66,181.18,294,44
292,Seamless uniform pricing structure,Books,324.85,244.59,439,27
293,Robust web-enabled emulation,Electronics,58.88,27.27,457,46
294,Diverse needs-based extranet,Apparel,228.32,96.92,58,40
295,Balanced analyzing Local Area Network,Home,383.23,226.71,460,43
296,Profound client-driven instruction set,Sports,180.4,92.87,189,31
297,Synchronized scalable portal,Apparel,241.58,153.22,19,25
298,Expanded asynchronous service-desk,Books,14.98,7.8,221,29
299,Extended composite utilization,Books,196.94,83.82,114,46
300,Fundamental zero tolerance benchmark,Home,36.76,-2.0,54,18
301,Reverse-engineered bandwidth-monitored approach,Sports,391.6,188.6,170,35
302,Sharable actuating software,Books,433.52,265.1,200,22
303,Enhanced clear-thinking hardware,Sports,172.08,92.05,493,10
304,Reverse-engineered system-worthy attitude,Electronics,282.13,161.41,472,46
305,Operative directional data-warehouse,Home,-1.0,240.05,361,33
306,Total empowering Graphical User Interface,Home,280.75,133.54,203,34
307,Extended value-added framework,Books,118.43,50.81,281,33
308,Enterprise-wide scalable budgetary management,Apparel,33.55,16.17,97,36
309,Ameliorated holistic hub,Apparel,87.21,58.28,17,25
310,Quality-focused tangible policy,Apparel,105.5,61.51,135,36
311,Customer-focused asynchronous pricing structure,Home,111.88,49.58,118,38
312,Public-key discrete capability,Sports,359.96,203.84,400,44
313,Balanced discrete application,Home,417.29,172.37,363,19
314,User-friendly systemic help-desk,Books,288.85,147.96,491,13
315,Distributed zero-defect knowledge user,Electronics,84.97,61.34,331,41
316,Ameliorated dedicated extranet,Sports,224.7,115.59,134,22
317,Function-based upward-trending architecture,Home,496.84,258.77,29,19
318,Public-key scalable focus group,Home,121.91,87.48,484,13
319,Integrated zero administration approach,Books,90.05,65.38,483,27
320,Triple-buffered exuding database,Sports,216.84,116.08,384,31
321,Profound tertiary ability,Apparel,367.62,257.91,101,22
322,Proactive heuristic help-desk,Books,75.4,60.14,406,24
323,Future-proofed user-facing time-frame,Home,14.57,5.92,101000,46
324,Automated full-range task-force,Electronics,495.84,241.08,117,11
325,Self-enabling zero-defect task-force,Sports,117.54,58.94,225,14
326,Sharable high-level secured line,Sports,369.69,166.04,401,39
327,Self-enabling foreground open architecture,Sports,188.95,137.24,438,37
328,Multi-tiered exuding firmware,Books,79.58,47.06,177,30
329,Intuitive client-server initiative,Apparel,132.07,92.36,142,33
330,Horizontal hybrid hierarchy,Apparel,113.2,48.82,466,24
331,Assimilated methodical concept,Home,370.01,230.31,417,41
332,Versatile tertiary database,Home,93.61,38.53,366,18
333,Cross-group static encryption,Sports,32.87,20.25,34,47
334,Future-proofed bi-directional pricing structure,Electronics,406.65,292.33,46,39
335,Cross-platform solution-oriented Internet solution,Apparel,361.67,283.2,149,13
336,Distributed next generation migration,Sports,-1.0,187.03,469,26
337,Innovative even-keeled monitoring,Electronics,333.67,206.4,425,40
338,Face-to-face holistic matrix,Home,324.67,219.6,422,26
339,Versatile global definition,Books,212.82,138.1,479,21
340,Total asymmetric framework,Home,463.57,194.71,327,44
341,Reactive zero administration workforce,Sports,121.42,90.94,78,40
342,Adaptive multi-tasking attitude,Electronics,318.17,170.47,92,19
343,Business-focused cohesive utilization,Books,165.16,68.71,400,31
344,Open-architected clear-thinking emulation,Home,-1.0,139.81,364,26
345,Sharable discrete database,Apparel,458.28,316.16,484,25
346,Digitized regional installation,Sports,247.88,161.34,293,14
347,Configurable optimizing support,Electronics,399.27,175.64,44,13
348,Fully-configurable 3rdgeneration access,Books,68.42,39.9,21,25
349,De-engineered 6thgeneration knowledge user,Books,351.48,278.73,212,49
350,Seamless 24/7 info-mediaries,Electronics,34.5,26.45,232,13
351,Implemented local database,Electronics,432.85,257.07,408,50
352,Robust upward-trending functionalities,Home,466.94,298.52,101000,47
353,Universal multi-tasking alliance,Home,486.1,314.46,91,48
354,Ameliorated user-facing moratorium,Electronics,165.99,125.21,252,16
355,User-friendly systemic attitude,Sports,94.61,43.22,484,34
356,User-centric methodical firmware,Books,376.73,188.33,232,21
357,Integrated asynchronous superstructure,Home,90.14,49.06,76,19
358,Cross-group maximized analyzer,Home,-1.0,30.75,-5,26
359,Visionary maximized complexity,Apparel,299.64,-2.0,465,22
360,Up-sized disintermediate algorithm,Books,372.62,149.27,418,22
361,Universal needs-based workforce,Home,109.15,56.32,226,11
362,Right-sized explicit initiative,Sports,159.32,117.3,260,48
363,Open-architected intermediate complexity,Home,294.25,156.61,237,11
364,Secured multimedia archive,Home,404.18,163.34,314,34
365,Reverse-engineered radical Local Area Network,Electronics,385.32,259.61,313,30
366,Profound multi-state core,Sports,102.84,69.19,-5,49
367,Monitored multimedia productivity,Sports,353.98,167.31,324,23
368,Visionary even-keeled core,Home,88.38,66.38,212,24
369,Grass-roots scalable array,Sports,141.32,82.1,242,30
370,Phased intermediate task-force,Home,399.45,185.35,290,19
371,Mandatory analyzing encryption,Sports,-1.0,8.03,178,44
372,Optional 3rdgeneration concept,Apparel,51.02,36.93,14,33
373,Right-sized attitude-oriented portal,Apparel,290.63,224.07,303,28
374,Extended 3rdgeneration hardware,Sports,67.34,35.63,111,12
375,Synergistic bottom-line collaboration,Books,84.3,44.43,205,24
376,Persistent asymmetric portal,Apparel,223.59,130.87,330,36
377,Progressive asynchronous approach,Home,94.46,61.3,340,21
378,Reduced zero administration migration,Home,30.95,17.05,339,26
379,Virtual zero tolerance firmware,Books,315.52,129.62,173,16
380,Fundamental incremental functionalities,Apparel,105.32,72.62,335,44
381,Devolved exuding productivity,Home,382.54,159.21,293,44
382,Progressive next generation capacity,Apparel,427.32,209.29,32,15
383,Optimized heuristic challenge,Apparel,96.62,44.52,400,14
384,Exclusive even-keeled data-warehouse,Electronics,192.34,99.71,364,33
385,Centralized fault-tolerant analyzer,Books,273.78,204.76,213,44
386,Networked directional capacity,Electronics,254.76,142.81,53,47
387,Monitored upward-trending service-desk,Books,63.77,33.84,275,13
388,Digitized non-volatile hub,Apparel,200.84,159.77,428,10
389,Networked optimizing artificial intelligence,Books,30.86,17.14,475,42
390,Advanced dedicated hub,Books,458.63,274.78,245,25
391,Diverse executive success,Sports,417.64,254.06,326,35
392,Synchronized bi-directional hub,Home,148.07,110.77,396,17
393,Horizontal explicit knowledgebase,Apparel,301.94,208.24,151,21
394,Secured transitional strategy,Sports,64.78,29.56,414,19
395,Re-engineered full-range model,Electronics,97.73,46.65,156,14
396,Compatible tangible moratorium,Home,-1.0,15.02,272,23
397,Intuitive system-worthy ability,Sports,399.96,178.03,480,42
398,Customizable cohesive adapter,Electronics,459.35,288.17,46,40
399,Progressive demand-driven migration,Sports,432.72,250.37,301,49
400,Re-engineered composite attitude,Books,301.09,194.26,353,43
401,Cloned incremental core,Apparel,57.3,26.61,56,45
402,Future-proofed modular access,Sports,19.75,9.63,216,36
403,Decentralized impactful throughput,Apparel,20.26,13.68,361,10
404,Multi-lateral eco-centric capability,Apparel,40.57,21.87,382,20
405,Progressive disintermediate service-desk,Sports,274.23,130.91,96,16
406,Sharable systematic migration,Home,11.89,7.76,414,21
407,Future-proofed clear-thinking pricing structure,Apparel,142.37,107.42,281,10
408,Synergized systematic data-warehouse,Apparel,468.31,290.94,473,36
409,Self-enabling intangible workforce,Books,422.8,273.29,392,49
410,Extended bandwidth-monitored leverage,Books,40.6,23.57,357,37
